,prestretch_force,range_of_motion
0,3.9771358840744524,2.8501278941370813
1,2.080754280090332,2.7662418053144577
2,4.063230991363525,2.854077360596932
3,4.430632591247559,2.8708350070798474
4,5.0765156745910645,2.9006241156889914
5,6.248981952667236,2.956127082090802
6,7.307827949523926,3.007603297196411
7,8.963699340820312,3.090836785976741
8,11.167452812194824,3.1965478596794057
9,14.236907958984375,3.2863821611779116
10,15.0,3.299892100958637
11,15.0,3.299892100958637
12,15.0,3.299892100958637
