,range_of_motion,stretched_muscle_length_one,stretched_muscle_length_two,relaxed_muscle_length_one,relaxed_muscle_length_two
0,7.4499617791396915,14.846077919006348,16.55076789855957,11.0,15.0
1,9.21016880756543,13.518926620483398,15.458359718322754,11.0,15.0
2,9.32509702473505,13.42599105834961,15.3796968460083,11.0,15.0
3,9.645346392161748,13.162924766540527,15.158348083496094,11.0,15.0
4,10.066812401749521,12.661869049072266,15.0,11.0,15.0
5,10.514757198486233,11.930732727050781,15.032976150512695,11.0,15.0
6,10.993284264483844,11.041349411010742,15.207175254821777,11.0,15.0
7,10.900141410540453,11.0,15.370038032531738,11.0,15.0
8,11.172250814545595,11.0,15.0,11.0,15.0
9,11.172250814545595,11.0,15.0,11.0,15.0
10,11.172250814545595,11.0,15.0,11.0,15.0
