,range_of_motion,stretched_muscle_length_one,stretched_muscle_length_two,relaxed_muscle_length_one,relaxed_muscle_length_two
104,6.466807740314847,13.0,12.0,9.0,12.0
105,6.078207048777531,13.0,12.5,9.0,12.0
106,5.666877307421423,13.0,13.0,9.0,12.0
107,5.232948176707069,13.0,13.5,9.0,12.0
108,4.777758573906924,13.0,14.0,9.0,12.0
109,4.304569312912266,13.0,14.5,9.0,12.0
110,3.8194787647690926,13.0,15.0,9.0,12.0
111,3.332299933429132,13.0,15.5,9.0,12.0
112,2.856691515073992,13.0,16.0,9.0,12.0
113,2.4084944587464534,13.0,16.5,9.0,12.0
114,2.0020261396187653,13.0,17.0,9.0,12.0
115,1.6466991951759944,13.0,17.5,9.0,12.0
116,1.3531691594877024,13.0,18.0,9.0,12.0
117,6.118796426962336,13.5,12.0,9.0,12.0
118,5.666912030670916,13.5,12.5,9.0,12.0
119,5.232988924184857,13.5,13.0,9.0,12.0
120,4.777804532654866,13.5,13.5,9.0,12.0
121,4.3046161418775135,13.5,14.0,9.0,12.0
122,3.819520409103264,13.5,14.5,9.0,12.0
123,3.3323281343700817,13.5,15.0,9.0,12.0
124,2.864658460423552,13.5,15.5,9.0,12.0
125,2.436511066477273,13.5,16.0,9.0,12.0
126,2.0379460321058094,13.5,16.5,9.0,12.0
127,1.6756342185571587,13.5,17.0,9.0,12.0
128,1.3650585573573562,13.5,17.5,9.0,12.0
129,1.1084021479995378,13.5,18.0,9.0,12.0
130,6.527339008650808,14.0,12.0,9.0,12.0
131,6.047793879483028,14.0,12.5,9.0,12.0
132,5.565127156880386,14.0,13.0,9.0,12.0
133,5.08143119252825,14.0,13.5,9.0,12.0
134,4.596600893606173,14.0,14.0,9.0,12.0
135,4.111009298052117,14.0,14.5,9.0,12.0
136,3.6292294032792984,14.0,15.0,9.0,12.0
137,3.163631294634305,14.0,15.5,9.0,12.0
138,2.703397935906633,14.0,16.0,9.0,12.0
139,2.2436198363092785,14.0,16.5,9.0,12.0
140,1.7840393610383511,14.0,17.0,9.0,12.0
141,1.3613490256886287,14.0,17.5,9.0,12.0
142,1.0362908066714809,14.0,18.0,9.0,12.0
143,7.112689426180939,14.5,12.0,9.0,12.0
144,6.620370218294913,14.5,12.5,9.0,12.0
145,6.114396470505479,14.5,13.0,9.0,12.0
146,5.589981935221466,14.5,13.5,9.0,12.0
147,5.102909194466493,14.5,14.0,9.0,12.0
148,4.612771714174537,14.5,14.5,9.0,12.0
149,4.103199190807739,14.5,15.0,9.0,12.0
150,3.6293624100489303,14.5,15.5,9.0,12.0
151,3.1624759595903136,14.5,16.0,9.0,12.0
152,2.6926129758354573,14.5,16.5,9.0,12.0
153,2.242907272969454,14.5,17.0,9.0,12.0
154,1.8115250905133564,14.5,17.5,9.0,12.0
155,1.3709022517589062,14.5,18.0,9.0,12.0
156,7.626523155414553,15.0,12.0,9.0,12.0
157,7.149402988974565,15.0,12.5,9.0,12.0
158,6.66884150037588,15.0,13.0,9.0,12.0
159,6.217325761195159,15.0,13.5,9.0,12.0
160,5.7403411235778385,15.0,14.0,9.0,12.0
161,5.219398827277818,15.0,14.5,9.0,12.0
162,4.737586541719992,15.0,15.0,9.0,12.0
163,4.2580128108069495,15.0,15.5,9.0,12.0
164,3.715363413869177,15.0,16.0,9.0,12.0
165,3.2631412639924235,15.0,16.5,9.0,12.0
166,2.766367880939171,15.0,17.0,9.0,12.0
167,2.3140553043935927,15.0,17.5,9.0,12.0
168,1.85659184466207,15.0,18.0,9.0,12.0
