,range_of_motion,stretched_muscle_length_one,stretched_muscle_length_two,relaxed_muscle_length_one,relaxed_muscle_length_two
0,7.156390136235473,15.507469177246094,14.846393585205078,12.0,13.0
1,6.795997481852744,14.228306770324707,16.538516998291016,12.0,13.0
2,7.166372831466605,15.587540626525879,14.754670143127441,12.0,13.0
3,7.4358760625125555,15.55091381072998,14.472000122070312,12.0,13.0
4,7.60502967265238,15.487332344055176,14.330276489257812,12.0,13.0
5,7.8881033028815875,15.366101264953613,14.098766326904297,12.0,13.0
6,8.24525192929714,15.201580047607422,13.800335884094238,12.0,13.0
7,8.779226688368627,14.934330940246582,13.33320426940918,12.0,13.0
8,9.446938713061819,14.265376091003418,13.0,12.0,13.0
9,10.083011058960624,13.23412799835205,13.0,12.0,13.0
10,10.94463110723427,12.0,13.0,12.0,13.0
11,10.94463110723427,12.0,13.0,12.0,13.0
12,10.94463110723427,12.0,13.0,12.0,13.0
