,range_of_motion,stretched_muscle_length_one,stretched_muscle_length_two,relaxed_muscle_length_one,relaxed_muscle_length_two
0,8.947324774322531,12.630449295043945,15.394211769104004,12.0,13.0
1,6.532024981912452,14.915840148925781,16.14470100402832,12.0,13.0
2,8.859673026741914,12.752069473266602,15.399975776672363,12.0,13.0
3,9.29654502361697,12.134072303771973,15.366081237792969,12.0,13.0
4,9.460791835980489,12.0,15.243461608886719,12.0,13.0
5,9.71458022691183,12.0,14.833179473876953,12.0,13.0
6,9.983089505976984,12.0,14.379633903503418,12.0,13.0
7,10.642830510855756,12.0,13.38558578491211,12.0,13.0
8,10.94463110723427,12.0,13.0,12.0,13.0
9,10.94463110723427,12.0,13.0,12.0,13.0
10,10.94463110723427,12.0,13.0,12.0,13.0
