,range_of_motion,stretched_muscle_length_one,stretched_muscle_length_two,relaxed_muscle_length_one,relaxed_muscle_length_two
0,11.172250814545595,11.0,15.0,11.0,15.0
1,10.803234599290729,11.0,15.5,11.0,15.0
2,10.479645229765698,11.0,16.0,11.0,15.0
3,10.166895507024385,11.0,16.5,11.0,15.0
4,9.853351140932794,11.0,17.0,11.0,15.0
5,9.527479447582287,11.0,17.5,11.0,15.0
6,9.194852969961513,11.0,18.0,11.0,15.0
7,8.861090799991205,11.0,18.5,11.0,15.0
8,8.513416412048993,11.0,19.0,11.0,15.0
9,8.148668066369535,11.0,19.5,11.0,15.0
10,7.766281517133349,11.0,20.0,11.0,15.0
11,7.365862416779867,11.0,20.5,11.0,15.0
12,6.94730205473172,11.0,21.0,11.0,15.0
13,10.838809831290849,11.5,15.0,11.0,15.0
14,10.479642544031762,11.5,15.5,11.0,15.0
15,10.166900509154743,11.5,16.0,11.0,15.0
16,9.853363470235589,11.5,16.5,11.0,15.0
17,9.527472853326985,11.5,17.0,11.0,15.0
18,9.194849327476835,11.5,17.5,11.0,15.0
19,8.861091825861694,11.5,18.0,11.0,15.0
20,8.51341507480264,11.5,18.5,11.0,15.0
21,8.148666621500363,11.5,19.0,11.0,15.0
22,7.766278305275838,11.5,19.5,11.0,15.0
23,7.3658592340935485,11.5,20.0,11.0,15.0
24,6.947297533288742,11.5,20.5,11.0,15.0
25,6.5109142531136275,11.5,21.0,11.0,15.0
26,10.491872535298697,12.0,15.0,11.0,15.0
27,10.16689520243056,12.0,15.5,11.0,15.0
28,9.853362265357092,12.0,16.0,11.0,15.0
29,9.527467416759265,12.0,16.5,11.0,15.0
30,9.194848805017457,12.0,17.0,11.0,15.0
31,8.861091927709637,12.0,17.5,11.0,15.0
32,8.513416207537775,12.0,18.0,11.0,15.0
33,8.148667076603482,12.0,18.5,11.0,15.0
34,7.766278505441189,12.0,19.0,11.0,15.0
35,7.365857219898034,12.0,19.5,11.0,15.0
36,6.9472929519993905,12.0,20.0,11.0,15.0
37,6.510908024936731,12.0,20.5,11.0,15.0
38,6.0576663903758,12.0,21.0,11.0,15.0
39,10.166900714433417,12.5,15.0,11.0,15.0
40,9.85334766002713,12.5,15.5,11.0,15.0
41,9.527474231965384,12.5,16.0,11.0,15.0
42,9.194856801306386,12.5,16.5,11.0,15.0
43,8.861091823198521,12.5,17.0,11.0,15.0
44,8.513416033697645,12.5,17.5,11.0,15.0
45,8.148666168765693,12.5,18.0,11.0,15.0
46,7.766278456220096,12.5,18.5,11.0,15.0
47,7.365855799136217,12.5,19.0,11.0,15.0
48,6.94729119865627,12.5,19.5,11.0,15.0
49,6.510904416135215,12.5,20.0,11.0,15.0
50,6.0576601933907455,12.5,20.5,11.0,15.0
51,5.589428767363097,12.5,21.0,11.0,15.0
52,9.85335473610969,13.0,15.0,11.0,15.0
53,9.527469204369435,13.0,15.5,11.0,15.0
54,9.194848552526238,13.0,16.0,11.0,15.0
55,8.861091907506754,13.0,16.5,11.0,15.0
56,8.513414854903683,13.0,17.0,11.0,15.0
57,8.148666066522036,13.0,17.5,11.0,15.0
58,7.766278483426035,13.0,18.0,11.0,15.0
59,7.365855695405148,13.0,18.5,11.0,15.0
60,6.947290550025418,13.0,19.0,11.0,15.0
61,6.510901540656471,13.0,19.5,11.0,15.0
62,6.057657153637505,13.0,20.0,11.0,15.0
63,5.589424004293601,13.0,20.5,11.0,15.0
64,5.109342096502473,13.0,21.0,11.0,15.0
65,9.527473442257627,13.5,15.0,11.0,15.0
66,9.194844017375555,13.5,15.5,11.0,15.0
67,8.861092848322091,13.5,16.0,11.0,15.0
68,8.513416580964396,13.5,16.5,11.0,15.0
69,8.148666465635944,13.5,17.0,11.0,15.0
70,7.7662778349991815,13.5,17.5,11.0,15.0
71,7.365854549700003,13.5,18.0,11.0,15.0
72,6.947290877776599,13.5,18.5,11.0,15.0
73,6.510900890958874,13.5,19.0,11.0,15.0
74,6.057655865972535,13.5,19.5,11.0,15.0
75,5.589421708539257,13.5,20.0,11.0,15.0
76,5.109338454094722,13.5,20.5,11.0,15.0
77,inf,13.5,21.0,11.0,15.0
78,9.194858490855559,14.0,15.0,11.0,15.0
79,8.861094583527986,14.0,15.5,11.0,15.0
80,8.51341815196228,14.0,16.0,11.0,15.0
81,8.148670812681885,14.0,16.5,11.0,15.0
82,7.7662799703701335,14.0,17.0,11.0,15.0
83,7.365857215871422,14.0,17.5,11.0,15.0
84,6.947292399585217,14.0,18.0,11.0,15.0
85,6.510906628185127,14.0,18.5,11.0,15.0
86,6.0576573266760825,14.0,19.0,11.0,15.0
87,5.589422298968053,14.0,19.5,11.0,15.0
88,5.1093386371128435,14.0,20.0,11.0,15.0
89,inf,14.0,20.5,11.0,15.0
90,inf,14.0,21.0,11.0,15.0
91,8.861097513039738,14.5,15.0,11.0,15.0
