,range_of_motion,stretched_muscle_length_one,stretched_muscle_length_two,relaxed_muscle_length_one,relaxed_muscle_length_two
0,4.034370275218077,12.263701438903809,15.515726089477539,9.0,12.0
1,2.5175488237880614,15.107500076293945,17.398584365844727,9.0,12.0
2,4.079705799970901,12.323233604431152,15.409514427185059,9.0,12.0
3,4.413624843745826,12.323332786560059,15.062788009643555,9.0,12.0
4,4.984652095642806,12.179450035095215,14.595964431762695,9.0,12.0
5,5.59084681523869,12.004979133605957,14.084476470947266,9.0,12.0
6,6.250399151440065,12.0,13.281981468200684,9.0,12.0
7,6.466786472146829,12.0,13.0,9.0,12.0
8,6.466786472146829,12.0,13.0,9.0,12.0
9,6.466786472146829,12.0,13.0,9.0,12.0
