,range_of_motion,stretched_muscle_length_one,stretched_muscle_length_two,relaxed_muscle_length_one,relaxed_muscle_length_two
0,1.7433398199723076,14.107934951782227,17.168710708618164,9.0,12.0
1,6.133841787581595,16.929471969604492,15.945235252380371,9.0,12.0
2,5.9844191151524715,16.850082397460938,16.03754997253418,9.0,12.0
3,6.394158692847778,16.982187271118164,15.63436222076416,9.0,12.0
4,7.264710567440742,17.0,14.977489471435547,9.0,12.0
5,8.178964958948029,16.941171646118164,13.919116020202637,9.0,12.0
6,8.761245112362008,17.0,13.025507926940918,9.0,12.0
7,8.788405319496485,17.0,13.0,9.0,12.0
8,8.788405319496485,17.0,13.0,9.0,12.0
9,8.788405319496485,17.0,13.0,9.0,12.0
