,range_of_motion,stretched_muscle_length_one,stretched_muscle_length_two,relaxed_muscle_length_one,relaxed_muscle_length_two
0,10.94463110723427,12.0,13.0,12.0,13.0
1,10.554503718363133,12.0,13.5,12.0,13.0
2,10.216475583897651,12.0,14.0,12.0,13.0
3,9.913031283086296,12.0,14.5,12.0,13.0
4,9.612666206988493,12.0,15.0,12.0,13.0
5,9.296645311945149,12.0,15.5,12.0,13.0
6,8.964163423404798,12.0,16.0,12.0,13.0
7,8.614427424197839,12.0,16.5,12.0,13.0
8,8.246696047888044,12.0,17.0,12.0,13.0
9,7.860335532817846,12.0,17.5,12.0,13.0
10,7.45491485638763,12.0,18.0,12.0,13.0
11,7.030319836593186,12.0,18.5,12.0,13.0
12,6.58694106753812,12.0,19.0,12.0,13.0
13,10.59427760729891,12.5,13.0,12.0,13.0
14,10.216478697943064,12.5,13.5,12.0,13.0
15,9.913028887111118,12.5,14.0,12.0,13.0
16,9.612666034228099,12.5,14.5,12.0,13.0
17,9.296645078284595,12.5,15.0,12.0,13.0
18,8.964163869325304,12.5,15.5,12.0,13.0
19,8.614427190918095,12.5,16.0,12.0,13.0
20,8.246695986533927,12.5,16.5,12.0,13.0
21,7.860336251442394,12.5,17.0,12.0,13.0
22,7.454914295832964,12.5,17.5,12.0,13.0
23,7.0303193147793746,12.5,18.0,12.0,13.0
24,6.586941156855186,12.5,18.5,12.0,13.0
25,6.125911158190716,12.5,19.0,12.0,13.0
26,10.242606885675709,13.0,13.0,12.0,13.0
27,9.913029097055446,13.0,13.5,12.0,13.0
28,9.612666351455188,13.0,14.0,12.0,13.0
29,9.296645100322834,13.0,14.5,12.0,13.0
30,8.96416420027194,13.0,15.0,12.0,13.0
31,8.614426735785793,13.0,15.5,12.0,13.0
32,8.246694725516473,13.0,16.0,12.0,13.0
33,7.860336223312828,13.0,16.5,12.0,13.0
34,7.454913757893943,13.0,17.0,12.0,13.0
35,7.030319078290361,13.0,17.5,12.0,13.0
36,6.5869393210610845,13.0,18.0,12.0,13.0
37,6.125910736503396,13.0,18.5,12.0,13.0
38,5.649414186013686,13.0,19.0,12.0,13.0
39,9.9148576053409,13.5,13.0,12.0,13.0
40,9.61266660771976,13.5,13.5,12.0,13.0
41,9.296644385479674,13.5,14.0,12.0,13.0
42,8.964163741189472,13.5,14.5,12.0,13.0
43,8.61442761537674,13.5,15.0,12.0,13.0
44,8.246695797298194,13.5,15.5,12.0,13.0
45,7.860336294685611,13.5,16.0,12.0,13.0
46,7.4549130766050276,13.5,16.5,12.0,13.0
47,7.030318955130246,13.5,17.0,12.0,13.0
48,6.586939190749465,13.5,17.5,12.0,13.0
49,6.125909470031125,13.5,18.0,12.0,13.0
50,5.649414272051571,13.5,18.5,12.0,13.0
51,5.161038642384327,13.5,19.0,12.0,13.0
52,9.612666450146353,14.0,13.0,12.0,13.0
53,9.296645387789894,14.0,13.5,12.0,13.0
54,8.964164452169419,14.0,14.0,12.0,13.0
55,8.61442745463411,14.0,14.5,12.0,13.0
56,8.246695045884696,14.0,15.0,12.0,13.0
57,7.860335818768743,14.0,15.5,12.0,13.0
58,7.454913236301509,14.0,16.0,12.0,13.0
59,7.030319159423703,14.0,16.5,12.0,13.0
60,6.586939143949442,14.0,17.0,12.0,13.0
61,6.125910138533122,14.0,17.5,12.0,13.0
62,5.649413652599845,14.0,18.0,12.0,13.0
63,5.161038328532213,14.0,18.5,12.0,13.0
64,4.666101666113921,14.0,19.0,12.0,13.0
65,9.296645773381083,14.5,13.0,12.0,13.0
66,8.964162887511904,14.5,13.5,12.0,13.0
67,8.614427120741903,14.5,14.0,12.0,13.0
