,range_of_motion,stretched_muscle_length_one,stretched_muscle_length_two,relaxed_muscle_length_one,relaxed_muscle_length_two
0,11.116151141568004,14.674957275390625,16.611495971679688,14.0,15.0
1,9.358133692096107,17.08644676208496,16.66368293762207,14.0,15.0
2,11.171598971887803,14.710748672485352,16.495119094848633,14.0,15.0
3,11.452261420641138,14.733989715576172,16.09286880493164,14.0,15.0
4,11.998955169781684,14.686814308166504,15.455838203430176,14.0,15.0
5,12.498919999680162,14.51032543182373,15.0,14.0,15.0
6,12.80014508665731,14.08630657196045,15.0,14.0,15.0
7,12.859744840042207,14.0,15.0,14.0,15.0
8,12.859744840042207,14.0,15.0,14.0,15.0
9,12.859744840042207,14.0,15.0,14.0,15.0
