,range_of_motion,stretched_muscle_length_one,stretched_muscle_length_two,relaxed_muscle_length_one,relaxed_muscle_length_two
0,9.984468981824659,11.0,12.0,11.0,12.0
1,9.651066655431997,11.0,12.5,11.0,12.0
2,9.370786956886217,11.0,13.0,11.0,12.0
3,9.086346774298216,11.0,13.5,11.0,12.0
4,8.785862806335572,11.0,14.0,11.0,12.0
5,8.468378301002346,11.0,14.5,11.0,12.0
6,8.132918901341043,11.0,15.0,11.0,12.0
7,7.778523052012865,11.0,15.5,11.0,12.0
8,7.40430805458295,11.0,16.0,11.0,12.0
9,7.009565143386416,11.0,16.5,11.0,12.0
10,6.593900063286208,11.0,17.0,11.0,12.0
11,6.157455651512246,11.0,17.5,11.0,12.0
12,5.701224047941642,11.0,18.0,11.0,12.0
13,9.657850519973312,11.5,12.0,11.0,12.0
14,9.370787085516938,11.5,12.5,11.0,12.0
15,9.086347072314284,11.5,13.0,11.0,12.0
16,8.785862432000819,11.5,13.5,11.0,12.0
17,8.468378426653551,11.5,14.0,11.0,12.0
18,8.132918713837846,11.5,14.5,11.0,12.0
19,7.7785226429938525,11.5,15.0,11.0,12.0
20,7.404307690806064,11.5,15.5,11.0,12.0
21,7.009565016873859,11.5,16.0,11.0,12.0
22,6.593899499872105,11.5,16.5,11.0,12.0
23,6.15745461569837,11.5,17.0,11.0,12.0
24,5.701222590886999,11.5,17.5,11.0,12.0
25,5.227463939802652,11.5,18.0,11.0,12.0
26,9.37078720494026,12.0,12.0,11.0,12.0
27,9.086347199891716,12.0,12.5,11.0,12.0
28,8.785862681297989,12.0,13.0,11.0,12.0
29,8.468379343285697,12.0,13.5,11.0,12.0
30,8.132918569139694,12.0,14.0,11.0,12.0
31,7.778522311504185,12.0,14.5,11.0,12.0
32,7.4043076444968285,12.0,15.0,11.0,12.0
33,7.009564229910197,12.0,15.5,11.0,12.0
34,6.593898869593078,12.0,16.0,11.0,12.0
35,6.157453868861957,12.0,16.5,11.0,12.0
36,5.701222394338833,12.0,17.0,11.0,12.0
37,5.2274628958570055,12.0,17.5,11.0,12.0
38,4.7402044258293365,12.0,18.0,11.0,12.0
39,9.086347235956357,12.5,12.0,11.0,12.0
40,8.785863058861807,12.5,12.5,11.0,12.0
41,8.468378735056163,12.5,13.0,11.0,12.0
42,8.132918610979026,12.5,13.5,11.0,12.0
43,7.778522644659606,12.5,14.0,11.0,12.0
44,7.404307731300641,12.5,14.5,11.0,12.0
45,7.009564124693961,12.5,15.0,11.0,12.0
46,6.593898468314881,12.5,15.5,11.0,12.0
47,6.157453322361469,12.5,16.0,11.0,12.0
48,5.701221430537906,12.5,16.5,11.0,12.0
49,5.227462537785792,12.5,17.0,11.0,12.0
50,4.7402035101828215,12.5,17.5,11.0,12.0
51,4.245728782724969,12.5,18.0,11.0,12.0
52,8.785863340528696,13.0,12.0,11.0,12.0
53,8.468379483560518,13.0,12.5,11.0,12.0
54,8.132919240108112,13.0,13.0,11.0,12.0
55,7.778522814205736,13.0,13.5,11.0,12.0
56,7.404307988204437,13.0,14.0,11.0,12.0
57,7.009564466755432,13.0,14.5,11.0,12.0
58,6.5938984743988485,13.0,15.0,11.0,12.0
59,6.157453839022557,13.0,15.5,11.0,12.0
60,5.701221357931271,13.0,16.0,11.0,12.0
61,5.227461473045102,13.0,16.5,11.0,12.0
62,4.740203741654462,13.0,17.0,11.0,12.0
63,4.2457294392152285,13.0,17.5,11.0,12.0
64,3.7527991219617665,13.0,18.0,11.0,12.0
65,8.468379695475962,13.5,12.0,11.0,12.0
66,8.132919618818967,13.5,12.5,11.0,12.0
67,7.778523392994252,13.5,13.0,11.0,12.0
68,7.4043084148446745,13.5,13.5,11.0,12.0
