,range_of_motion,stretched_muscle_length_one,stretched_muscle_length_two,relaxed_muscle_length_one,relaxed_muscle_length_two
0,9.19954677411376,14.531743049621582,13.11691951751709,12.0,13.0
1,6.548840256265777,16.31450653076172,14.727527618408203,12.0,13.0
2,9.211832360515096,14.436813354492188,13.19316291809082,12.0,13.0
3,9.45203079530162,14.256160736083984,13.001165390014648,12.0,13.0
4,9.845252242178766,13.615067481994629,13.0,12.0,13.0
5,10.40687127127812,12.760948181152344,13.0,12.0,13.0
6,10.94463110723427,12.0,13.0,12.0,13.0
7,10.94463110723427,12.0,13.0,12.0,13.0
8,10.94463110723427,12.0,13.0,12.0,13.0
